Country,co2_tonnes,Carbon_yearData
KYRGYZSTAN,7880000,2019
MOZAMBIQUE,7753000,2019
NEPAL,7708000,2019
TAJIKISTAN,7643000,2019
EL SALVADOR,7632000,2019
NORTH MACEDONIA,7383000,2019
MAURITIUS,7191000,2019
CAMEROON,7105000,2019
BENIN,6903000,2019
ZAMBIA,6798000,2019
PAPUA NEW GUINEA,6491000,2019
URUGUAY,6450000,2019
ARMENIA,6354000,2019
BOTSWANA,5965000,2019
NEW CALEDONIA,5886000,2019
UGANDA,5841000,2019
MALI,5679000,2019
ESTONIA,4924000,2019
NICARAGUA,4851000,2019
EQUATORIAL GUINEA,4528000,2019
"CONGO, REPUBLIC OF THE",4523000,2019
BURKINA FASO,4444000,2019
MADAGASCAR,4218000,2019
MAURITANIA,4041000,2019
"BAHAMAS, THE",3984000,2019
NAMIBIA,3831000,2019
ALBANIA,3794000,2019
GAZA STRIP,3341000,2019
WEST BANK,3341000,2019
ICELAND,3337000,2019
HAITI,3139000,2019
GUINEA,2981000,2019
GUYANA,2743000,2019
"CONGO, DEMOCRATIC REPUBLIC OF THE",2653000,2019
GABON,2651000,2019
MONTENEGRO,2447000,2019
VIRGIN ISLANDS,2438000,2019
NIGER,2374000,2019
SURINAME,2372000,2019
MALDIVES,2286000,2019
TOGO,2244000,2019
MACAU,2012000,2019
GUAM,1828000,2019
SOUTH SUDAN,1778000,2019
CHAD,1771000,2019
BARBADOS,1703000,2019
FIJI,1691000,2019
MALAWI,1542000,2019
LIBERIA,1346000,2019
WAKE ISLAND,1275000,2019
ARUBA,1254000,2019
ESWATINI,1224000,2019
RWANDA,1189000,2019
SEYCHELLES,1156000,2019
FRENCH POLYNESIA,1030000,2019
CABO VERDE,1002000,2019
BHUTAN,934000,2019
SIERRA LEONE,899000,2019
SOMALIA,882000,2019
FAROE ISLANDS,870000,2019
CAYMAN ISLANDS,808000,2019
ERITREA,798000,2019
BERMUDA,796000,2019
LESOTHO,736000,2019
ANTIGUA AND BARBUDA,729000,2019
BURUNDI,715000,2019
SAINT LUCIA,659000,2019
DJIBOUTI,610000,2019
"GAMBIA, THE",606000,2019
GREENLAND,605000,2019
BELIZE,541000,2019
TIMOR-LESTE,538000,2019
JERSEY,450000,2012
SAMOA,355000,2019
AMERICAN SAMOA,355000,2019
GUINEA-BISSAU,342000,2019
SOLOMON ISLANDS,333000,2019
COMOROS,326000,2019
GRENADA,316000,2019
MARSHALL ISLANDS,293700,2017
CENTRAL AFRICAN REPUBLIC,285000,2019
SAINT KITTS AND NEVIS,268000,2019
TURKS AND CAICOS ISLANDS,245000,2019
VANUATU,225000,2019
SAINT VINCENT AND THE GRENADINES,202000,2019
DOMINICA,182000,2019
"MICRONESIA, FEDERATED STATES OF",177000,2019
BRITISH VIRGIN ISLANDS,173000,2019
SAO TOME AND PRINCIPE,173000,2019
TONGA,171000,2019
COOK ISLANDS,114000,2019
SAINT PIERRE AND MIQUELON,84000,2019
KIRIBATI,76000,2019
NAURU,66000,2019
FALKLAND ISLANDS (ISLAS MALVINAS),46000,2019
MONTSERRAT,33000,2019
ANTARCTICA,28000,2019
"SAINT HELENA, ASCENSION, AND TRISTAN DA CUNHA",13000,2019
NIUE,8000,2019
NORTHERN MARIANA ISLANDS,0,2019
TUVALU,0,2019
